代碼,出入口名稱,lat,lnt
1,頂埔站,24.959306,121.418218
2,松山機場站,25.063717,121.552335
3,中山國中站,25.060889,121.544031
4,忠孝復興站,25.041797,121.543143
5,大安站,25.033508,121.541949
6,科技大樓站,25.026154,121.543636
7,六張犁站,25.023852,121.552737
8,麟光站,25.018554,121.558606
9,辛亥站,25.005119,121.557021
10,萬芳醫院站,24.999383,121.557737
11,萬芳社區站,24.99858,121.568409
12,木柵站,24.998174,121.573417
13,動物園站,24.99825,121.579916
14,大直站,25.080118,121.547104
15,劍南路站,25.085174,121.555226
16,西湖站,25.082339,121.566647
17,港墘站,25.080152,121.57556
18,文德站,25.078671,121.58564
19,內湖站,25.083745,121.594266
20,大湖公園站,25.083894,121.602377
21,葫洲站,25.072638,121.608047
22,東湖站,25.067218,121.611129
23,南港軟體園區站,25.059995,121.615817
24,南港展覽館站,25.055847,121.616936
25,小碧潭站,24.971684,121.530311
26,新店站,24.957877,121.537558
27,新店區公所站,24.967393,121.541124
28,七張站,24.975025,121.543068
29,大坪林站,24.982754,121.540874
30,景美站,24.992296,121.540933
31,萬隆站,25.001367,121.538896
32,公館站,25.014509,121.534377
33,台電大樓站,25.01962,121.528577
34,古亭站,25.025976,121.522973
35,中正紀念堂站,25.033034,121.517764
36,小南門站,25.036434,121.509752
37,頂溪站,25.012895,121.515414
38,永安市場站,25.002375,121.510962
39,景安站,24.993731,121.504632
40,南勢角站,24.990016,121.508639
41,台大醫院站,25.040913,121.515731
42,台北車站,25.046755,121.516246
43,雙連站,25.057499,121.520588
44,民權西路站,25.062641,121.519454
45,圓山站,25.070785,121.520033
46,劍潭站,25.08503,121.525175
47,士林站,25.094106,121.525966
48,芝山站,25.102046,121.522636
49,明德站,25.109298,121.519153
50,石牌站,25.115007,121.515171
51,唭哩岸站,25.120673,121.506987
52,奇岩站,25.126169,121.50096
53,北投站,25.132316,121.49824
54,新北投站,25.136968,121.503524
55,復興崗站,25.137325,121.485159
56,忠義站,25.131056,121.473169
57,關渡站,25.125431,121.467215
58,竹圍站,25.136971,121.459726
59,紅樹林站,25.154137,121.459039
60,淡水站,25.168084,121.445355
61,永寧站,24.966714,121.435254
62,土城站,24.973251,121.444173
63,海山站,24.985375,121.448615
64,亞東醫院站,24.998933,121.452581
65,府中站,25.008486,121.459077
66,板橋站,25.013416,121.461754
67,新埔站,25.023063,121.467457
68,江子翠站,25.030298,121.471914
69,龍山寺站,25.035484,121.49953
70,善導寺站,25.045097,121.523009
71,忠孝新生站,25.042103,121.532065
72,忠孝敦化站,25.041642,121.550578
73,國父紀念館站,25.041838,121.556663
74,市政府站,25.041408,121.565459
75,永春站,25.040995,121.57512
76,後山埤站,25.044422,121.58141
77,昆陽站,25.050319,121.592726
78,南港站,25.051911,121.606357
79,象山站,25.033025,121.569394
80,台北101/世貿站,25.033107,121.561671
81,信義安和站,25.033377,121.552602
82,大安森林公園站,25.033693,121.534442
83,輔大站,25.032932,121.435264
84,新莊站,25.03615,121.452168
85,頭前庄站,25.039844,121.460303
86,先嗇宮站,25.046497,121.471319
87,三重站,25.055303,121.483748
88,菜寮站,25.05971,121.490673
89,臺北橋站,25.062966,121.500281
90,大橋頭站,25.06318,121.512319
91,中山國小站,25.06284,121.526095
92,行天宮站,25.058316,121.533004
93,東門站,25.034157,121.527994
94,蘆洲站,25.091463,121.464565
95,三民高中站,25.085494,121.472542
96,徐匯中學站,25.080303,121.47988
97,三和國中站,25.076586,121.486398
98,三重國小站,25.070536,121.496656
99,迴龍站,25.021864,121.411264
100,丹鳳站,25.029048,121.422282
101,南京復興站,25.052625,121.542121
102,中山站,25.052414,121.520303
103,西門站,25.042137,121.507566
104,松江南京站,25.051842,121.532388
105,北門站,25.048737,121.509862
106,台北小巨蛋站,25.051836,121.55153
107,南京三民站,25.051517,121.563643
108,松山站,25.050171,121.577022
109,十四張站,24.984467,121.527701
110,秀朗橋站,24.990418,121.52574
111,景平站,24.9919681,121.5165532
112,中和站,25.0019806,121.4960519
113,橋和站,25.0044131,121.4904608
114,中原站,25.0084104,121.4841593
115,板新站,25.0144914,121.4722124
116,新埔民生站,25.026125,121.466839
117,幸福站,25.050126,121.460146
118,新北產業園區站,25.0615483,121.4599257