代碼,名稱,地址,lat,lnt,類別
0,統一時代百貨,110台北市信義區忠孝東路五段8號,25.04103042,121.565249,百貨公司
1,誠品信義店,110台北市信義區松高路11號,25.03983383,121.5651724,百貨公司
2,臺北101,110台北市信義區信義路五段7號,25.03419613,121.5645235,購物中心
3,微風南山,110台北市信義區松智路17號,25.03459797,121.5661115,購物中心
4,微風信義,110台北市信義區忠孝東路五段68號,25.04081656,121.5667802,購物中心
5,微風松高,110台北市信義區松高路16號,25.03877263,121.5673017,購物中心
6,遠百信義,110台北市信義區松仁路58號,25.03714048,121.5679584,百貨公司
7,BELLAVITA寶麗廣_,110台北市信義區松仁路28號,25.03997966,121.5677822,百貨公司
8,新光三越信義新天地A4館,110台北市信義區松高路19號,25.03992883,121.5664077,百貨公司
9,新光三越信義新天地A8館,110台北市信義區松高路12號,25.03839054,121.5668664,百貨公司
10,新光三越信義新天地A9館,110台北市信義區松壽路9號,25.03673904,121.5666912,百貨公司
11,新光三越信義新天地A11館,110台北市信義區松壽路11號,25.03634256,121.5673966,百貨公司
12,ATT 4 FUN,110台北市信義區松壽路12號,25.03561825,121.5659888,百貨公司
13,信義威秀商場,110台北市信義區松壽路20號,25.03550845,121.5672052,商場
14,Neo 19,110台北市信義區松壽路22號,25.0357661,121.5678956,購物中心
15,明曜百貨,台北市大安區忠孝東路4段200號,25.04134511,121.552134,百貨公司
16,遠東SOGO 復興店,106台北市大安區忠孝東路三段300號,25.04136857,121.5429527,百貨公司
17,遠東SOGO 敦化店,106台北市大安區敦化南路1段246號,25.04037302,121.5481393,百貨公司
18,遠東SOGO 忠孝店,台北市大安區忠孝東路4段45號,25.04210324,121.5445988,百貨公司
19,微風廣場,105台北市松山區復興南路一段39號,25.04692414,121.5444915,百貨公司
20,遠企購物中心,106台北市大安區敦化南路二段203號,25.02655405,121.5493493,購物中心
21,微風南京,105台北市松山區南京東路三段337號,25.05224185,121.5478012,百貨公司
22,CITYLINK松山店,110台北市信義區松山路11號,25.04955094,121.5782401,購物中心
23,CITYLINK南港店,115台北市南港區忠孝東路七段369號,25.05287375,121.6059866,購物中心
24,中國信託金融園區商場,115台北市南港區經貿二路186-1號,25.0587522,121.6148913,商場
25,環球購物中心南港車站分店,115台北市南港區忠孝東路七段371號B1,25.05330821,121.6083528,購物中心
26,京站時尚廣場,103台北市大同區承德路一段1號,25.04959958,121.5171613,購物中心
27,新光三越站前店,100台北市中正區忠孝西路一段66號,25.04635206,121.515184,百貨公司
28,微風台北車站,100台北市中正區北平西路3號,25.04807764,121.5163613,百貨公司
29,誠品西門店,108台北市萬華區峨眉街52號,25.04383227,121.505366,百貨公司
30,誠品武昌店,108台北市萬華區武昌街二段77號,25.04542593,121.5057959,百貨公司
31,遠百寶慶,100台北市中正區寶慶路32號,25.04179417,121.5091182,百貨公司
32,新光三越南西店本館,104台北市中山區南京西路12號,25.05259889,121.5213139,百貨公司
33,新光三越南西店三館,10491台北市中山區南京西路15號,25.05301683,121.5206916,百貨公司
34,誠品生活南西店,10491台北市中山區南京西路14號,25.05263525,121.5205532,百貨公司
35,欣欣百貨,10491台北市中山區林森北路247號,25.05441445,121.5256281,百貨公司
36,大葉高島屋,111台北市士林區忠誠路二段55號,25.11194292,121.5313105,百貨公司
37,新光三越天母店,111台北市士林區天母東路68號A棟,25.11813043,121.533897,百貨公司
38,遠東SOGO 天母店,111台北市士林區中山北路六段77號,25.10519365,121.5242281,百貨公司
39,美麗華百樂園,10491台北市中山區敬業三路20號,25.08316509,121.557684,購物中心
40,ATT 4 Recharge,10491台北市中山區敬業三路121號,25.08132753,121.5554858,購物中心
41,美麗新廣場,10491台北市中山區北安路780號,25.08523616,121.5537736,購物中心
42,英迪格酒店 春大直,104053台北市中山區植福路200號,25.08314678,121.5602353,小型商場
43,禮客時尚館內湖店,114台北市內湖區民善街205號,25.06448619,121.5747577,購物商場
44,昇恆昌免稅廣場內湖旗艦店,114台北市內湖區金莊路129號,25.0645105,121.5881273,免稅店
45,CITYLINK內湖店,114台北市內湖區成功路四段188號,25.08482602,121.5938439,百貨公司
46,瀚星百貨,116台北市文山區景興路188號,24.99254309,121.5437935,購物商場
47,禮客時尚館公館店,100台北市中正區思源街16號,25.01438341,121.5304257,購物商場